t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,carrier_vx,carrier_vy,carrier_vz,carrier_roll_deg,carrier_pitch_deg,carrier_yaw_deg,mini_x,mini_y,mini_z,mini_vx,mini_vy,mini_vz,mini_roll_deg,mini_pitch_deg,mini_yaw_deg,carrier_sp_x,carrier_sp_y,carrier_sp_z,carrier_cmd_vx,carrier_cmd_vy,carrier_cmd_vz,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed,mini_px4_true_airspeed_mps,mini_px4_throttle_filtered,mini_px4_global_alt_m,mini_px4_global_alt_valid,mini_px4_local_z_m,mini_px4_local_vz_mps,mini_px4_local_ref_alt_m,mini_px4_local_z_global_valid,mini_px4_local_alt_from_ref_m,mini_px4_alt_source_delta_m,mini_tecs_altitude_sp_m,mini_tecs_altitude_reference_m,mini_tecs_height_rate_reference_mps,mini_tecs_height_rate_sp_mps,mini_tecs_height_rate_mps,mini_tecs_true_airspeed_sp_mps,mini_tecs_true_airspeed_filtered_mps,mini_tecs_throttle_sp,mini_tecs_throttle_trim,mini_tecs_pitch_sp_deg,mini_tecs_underspeed_ratio,mini_tecs_fast_descend_ratio,mini_tecs_total_energy_rate_sp,mini_tecs_total_energy_rate,mini_fw_altitude_sp_m,mini_fw_height_rate_sp_mps,mini_fw_equivalent_airspeed_sp_mps,mini_fw_pitch_direct_deg,mini_fw_throttle_direct,mini_attitude_sp_thrust_x,mini_terminal_straight_active,mini_terminal_sync_active,mini_terminal_sync_score,mini_terminal_sync_best_score,mini_terminal_sync_release_ready,mini_terminal_sync_good_count,mini_terminal_sync_plateau_count,mini_terminal_sync_cluster_code,mini_terminal_sync_distance_xy,mini_terminal_sync_line_progress,mini_terminal_sync_line_lateral_error,mini_terminal_sync_height_error,mini_terminal_sync_distance_score,mini_terminal_sync_progress_score,mini_terminal_sync_lateral_score,mini_terminal_sync_height_score,mini_handoff_tangent_active,mini_handoff_distance_xy,mini_handoff_line_progress,mini_handoff_line_lateral_error,mini_handoff_height_error,mini_handoff_geom_ready,mini_energy_guard_active,mini_energy_guard_bad_airspeed,mini_energy_guard_bad_underspeed,mini_energy_guard_true_airspeed_mps,mini_energy_guard_underspeed_ratio,mini_energy_guard_recover_time_remaining_sec,controller_phase_code,controller_tracking_horizontal_distance,controller_tracking_along_error,controller_tracking_lateral_error,controller_tracking_along_speed,controller_tracking_lateral_speed,controller_terminal_distance,controller_terminal_along_error,controller_terminal_lateral_error,controller_terminal_vertical_error,controller_target_along_speed,controller_target_lateral_speed,controller_relative_speed,controller_min_docking_distance,controller_rendezvous_corridor_active,controller_passive_target_mode,controller_corridor_release_score,controller_corridor_release_armed,controller_corridor_release_accept_counter,controller_completion_hold_counter,controller_tracking_rearm_guard_enabled,controller_tracking_rearm_guard_used,controller_tracking_rearm_last_trigger_code,controller_passive_docking_entry_count,controller_passive_docking_last_exit_trigger_code,controller_debug_25,controller_debug_26,controller_debug_27,controller_debug_28,controller_debug_29
0.060,APPROACH,106.114527,69.223754,-74.250813,30.906011,-12.802500,15.095352,-2.277628,32.941236,-130.097109,34.586596,-2.192292,-4.033547,0.094527,0.000000,0.000000,-118.524726,80.233369,32.413868,30.000000,-4.771251,8.788354,0.000000,0.000000,0.000000,118.497808,-43.925518,-68.832007,34.942936,-1.747514,3.359626,0.516000,0.000000,0.000000,0.000000,47.292133,162.510977,-4.586596,169.314501,-2.578960,12.821901,-0.094527,13.079033,nan,nan,524.122498,1,-34.692261,0.077628,489.430237,1,524.122498,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,521.925110,nan,10.000000,nan,nan,0.201232,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,101.514095,-100.868984,-11.426262,19.750417,1.301813,106.056450,-100.868984,-11.426262,30.706011,11.007975,0.000000,19.923887,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,212.074500,-2.566020,nan
0.100,APPROACH,13.662811,-2.000750,-13.408614,1.696613,-6.257251,7.201100,0.220959,32.825371,-130.292536,34.585378,-2.317292,-3.908547,-0.024378,0.000000,0.000000,-120.662771,79.992066,32.851787,30.000000,-4.826047,8.758383,0.000000,0.000000,0.000000,118.855660,12.717676,-132.878800,35.296960,-1.798018,3.459626,0.516000,0.000000,0.000000,0.000000,47.166695,163.144324,-4.585378,169.887590,-2.508756,12.666930,0.024378,12.913000,10.762074,0.208691,524.127197,1,-34.697937,0.076234,489.430237,1,524.128174,-0.000977,522.430237,522.423340,-0.279500,-0.424402,-0.070380,10.318440,11.157742,0.200000,0.491163,-1.018788,0.000000,0.000000,-2.522484,-3.562189,522.430237,nan,10.000000,nan,nan,0.200000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,13.557062,-9.759073,9.410335,9.495669,0.917221,13.639420,-9.759073,9.410335,1.496613,11.008729,-0.000000,9.542424,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,209.819070,-3.020561,nan
0.160,APPROACH,104.185953,67.953368,-72.762901,30.702002,-12.568868,15.669348,-2.257566,32.703257,-130.481714,34.590409,-2.442292,-3.783547,0.100622,0.000000,0.000000,-122.842372,79.748034,33.288191,30.000000,-4.880655,8.728070,0.000000,0.000000,0.000000,119.213513,-44.156402,-68.633111,35.049205,-1.747413,3.435651,0.666000,0.000000,0.000000,0.000000,47.044777,163.769904,-4.590409,170.454875,-2.438363,12.511617,-0.100622,12.747404,10.762074,0.208691,524.138489,1,-34.708252,0.057566,489.430237,1,524.138489,0.000000,522.430237,522.417297,0.038500,-0.331626,-0.049149,10.318440,11.105187,0.209102,0.491163,-0.602689,0.000000,0.000000,-1.622590,-3.886274,522.430237,nan,10.000000,nan,nan,0.216525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,99.559530,-98.181689,-16.506237,20.003643,1.832798,104.127192,-98.181689,-16.506237,30.502002,10.995822,-0.000000,20.213894,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,211.838374,-2.551337,nan
0.200,APPROACH,13.029971,-2.644080,-12.640387,1.734821,-5.860632,7.534526,0.045385,32.574892,-130.677141,34.589190,-2.567292,-3.908547,-0.024378,0.000000,0.000000,-123.298527,79.501280,33.723061,30.000000,-4.935073,8.697417,0.000000,0.000000,0.000000,119.571365,13.006638,-131.408695,35.316553,-1.796867,3.435651,0.666000,0.000000,0.000000,0.000000,46.926388,164.400203,-4.589190,171.027989,-2.367781,12.605964,0.024378,12.826430,11.207934,0.210611,524.146790,1,-34.716553,0.038497,489.430237,1,524.146790,0.000000,522.430237,522.428406,0.192500,-0.285609,-0.043262,10.318541,11.062716,0.215337,0.491162,-0.419067,0.000000,0.000000,-1.228895,-4.219075,522.430237,nan,10.000000,nan,nan,0.212465,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,12.913967,-9.271580,8.989346,9.500289,0.927691,13.004853,-9.271580,8.989346,1.534821,10.997473,0.000000,9.545583,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,50.638570,6.853428,nan
0.260,APPROACH,152.121412,130.864969,77.517433,-2.516250,-7.463998,12.150000,-1.000000,32.452777,-130.866319,34.581721,-2.442292,-3.783547,-0.149378,0.000000,0.000000,-122.842372,-69.688583,1.619842,30.000000,-0.982938,-9.951574,0.000000,0.000000,0.000000,-95.640927,83.477138,22.841933,2.310000,-1.747715,3.385651,0.616000,0.000000,0.000000,0.000000,-102.141361,132.486161,-4.581721,167.351225,1.459354,-6.168027,0.149378,6.340078,11.207934,0.210611,524.156189,1,-34.725952,0.040170,489.430237,1,524.156189,0.000000,522.430237,522.430420,-0.023371,-0.351677,-0.048260,10.318541,11.058129,0.204428,0.491162,-0.797835,0.000000,0.000000,-1.963628,-4.435868,522.430237,nan,10.000000,nan,nan,0.205271,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,152.100600,59.694672,-139.896886,13.023554,5.806962,152.124852,59.694672,-139.896886,-2.716250,5.446999,0.000000,14.294536,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,211.631884,-2.542127,nan
0.300,APPROACH,12.510802,-3.150780,-11.981299,1.743915,-5.411930,7.965414,-0.130970,32.324413,-131.049246,34.580502,-2.567292,-3.658547,-0.024378,0.000000,0.000000,-125.058275,78.999649,34.588137,30.000000,-5.043328,8.635094,0.000000,0.000000,0.000000,120.287072,13.394321,-130.120408,35.334009,-1.748751,3.385651,0.616000,0.000000,0.000000,0.000000,46.675236,165.637383,-4.580502,172.149067,-2.476036,12.293641,0.024378,12.540532,10.868667,0.209658,524.167847,1,-34.737610,0.049885,489.430237,1,524.167847,0.000000,522.430237,522.430237,0.000000,-0.346802,-0.050825,10.318528,11.044637,0.205147,0.491165,-0.791709,0.000000,0.000000,-1.926105,-4.592464,522.430237,nan,10.000000,nan,nan,0.205270,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,12.388662,-8.899740,8.618211,9.595546,0.813819,12.484495,-8.899740,8.618211,1.543915,11.029127,0.000000,9.630886,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,53.487947,6.789848,nan
0.360,APPROACH,152.104683,130.095651,78.766183,-2.616250,-7.769804,12.600000,-1.000000,32.202298,-131.225923,34.573033,-2.442292,-3.533547,-0.149378,0.000000,0.000000,-124.651175,78.744791,35.018309,30.000000,-5.097162,8.603426,0.000000,0.000000,0.000000,120.644926,83.291362,23.366484,2.430000,-1.707512,3.335651,0.469736,0.000000,0.000000,0.000000,46.542493,166.244232,-4.573033,172.697020,-2.654870,12.136973,0.149378,12.424845,10.868667,0.209658,524.178284,1,-34.748047,0.064505,489.430237,1,524.178284,0.000000,522.430237,522.430237,0.000000,-0.348816,-0.049109,10.318528,11.012853,0.204380,0.491165,-0.863147,0.000000,0.000000,-1.985822,-4.727838,522.430237,nan,10.000000,nan,nan,0.203979,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,152.082181,60.315373,-139.610335,13.540738,5.981494,152.108255,60.315373,-139.610335,-2.816250,5.652663,0.000000,14.836774,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,209.661511,-2.939049,nan
0.400,APPROACH,11.857792,-3.692990,-11.130965,1.752338,-4.836488,8.429571,-0.106911,32.073934,-131.396351,34.571814,-2.567292,-3.408547,-0.024378,0.000000,0.000000,-126.986781,78.487251,35.446880,30.000000,-5.150797,8.571423,0.000000,0.000000,0.000000,121.002781,13.891758,-128.663674,35.354578,-1.790643,3.335651,0.469736,0.000000,0.000000,0.000000,46.413317,166.843230,-4.571814,173.239029,-2.583505,11.979970,0.024378,12.255398,10.971384,0.208705,524.186707,1,-34.756470,0.069456,489.430237,1,524.186707,0.000000,522.430237,522.430237,0.000000,-0.350916,-0.059696,10.318598,10.982565,0.203737,0.491165,-0.925585,0.000000,0.000000,-2.038482,-4.876447,522.430237,nan,10.000000,nan,nan,0.203454,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,11.727598,-8.379525,8.204883,9.697101,0.644610,11.829890,-8.379525,8.204883,1.552338,11.038442,0.000000,9.719091,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.000000,51.875941,6.678799,nan
0.460,APPROACH,98.202788,64.239698,-67.903743,30.102000,-11.783923,17.318653,-2.247675,31.939319,-131.560528,34.576845,-2.692292,-3.283547,0.100622,0.000000,0.000000,-129.349489,78.227039,35.873834,30.000000,-5.204231,8.539085,0.000000,0.000000,0.000000,121.360636,-40.548228,-71.506811,35.177549,-1.740643,3.332157,0.619736,0.000000,0.000000,0.000000,46.287720,167.434362,-4.576845,173.775045,-2.511939,11.822633,-0.100622,12.086960,10.971384,0.208705,524.200012,1,-34.769775,0.055340,489.430237,1,524.200012,0.000000,522.430237,522.430237,0.000000,-0.352979,-0.047284,10.318598,10.965826,0.202437,0.491165,-0.973974,0.000000,0.000000,-2.131925,-4.976722,522.430237,nan,10.000000,nan,nan,0.202286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,93.475436,-88.292267,-30.694181,20.629867,3.633889,98.141666,-88.292267,-30.694181,29.902000,11.042383,0.000000,21.067715,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,211.253192,-2.603659,nan
0.500,APPROACH,11.197970,-4.181290,-10.237097,1.764423,-4.426240,8.834015,-0.154153,31.810954,-131.718455,34.576114,-2.567292,-3.158547,-0.014627,0.000000,0.000000,-129.104480,77.964166,36.299155,30.000000,-5.257462,8.506415,0.000000,0.000000,0.000000,121.718491,14.340165,-127.313890,35.374841,-1.789699,3.432157,0.619736,0.000000,0.000000,0.000000,46.153212,168.017610,-4.576114,174.301397,-2.690170,11.664962,0.014627,11.971156,10.465357,0.207626,524.205078,1,-34.775818,0.087775,489.430237,1,524.206055,-0.000977,522.393311,522.429688,-0.087500,-0.381328,-0.075019,10.318588,10.925711,0.200000,0.491167,-1.199538,0.000000,0.000000,-2.397751,-5.059880,522.393311,nan,10.000000,nan,nan,0.200000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.000000,11.058090,-7.764618,7.873503,9.863148,0.591389,11.168203,-7.764618,7.873503,1.564423,11.048016,-0.000000,9.882064,inf,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,209.596455,-2.990980,nan
