t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,carrier_vx,carrier_vy,carrier_vz,carrier_roll_deg,carrier_pitch_deg,carrier_yaw_deg,mini_x,mini_y,mini_z,mini_vx,mini_vy,mini_vz,mini_roll_deg,mini_pitch_deg,mini_yaw_deg,carrier_sp_x,carrier_sp_y,carrier_sp_z,carrier_cmd_vx,carrier_cmd_vy,carrier_cmd_vz,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed,mini_px4_true_airspeed_mps,mini_px4_throttle_filtered,mini_px4_global_alt_m,mini_px4_global_alt_valid,mini_px4_local_z_m,mini_px4_local_vz_mps,mini_px4_local_ref_alt_m,mini_px4_local_z_global_valid,mini_px4_local_alt_from_ref_m,mini_px4_alt_source_delta_m,mini_tecs_altitude_sp_m,mini_tecs_altitude_reference_m,mini_tecs_height_rate_reference_mps,mini_tecs_height_rate_sp_mps,mini_tecs_height_rate_mps,mini_tecs_true_airspeed_sp_mps,mini_tecs_true_airspeed_filtered_mps,mini_tecs_throttle_sp,mini_tecs_throttle_trim,mini_tecs_pitch_sp_deg,mini_tecs_underspeed_ratio,mini_tecs_fast_descend_ratio,mini_tecs_total_energy_rate_sp,mini_tecs_total_energy_rate,mini_fw_altitude_sp_m,mini_fw_height_rate_sp_mps,mini_fw_equivalent_airspeed_sp_mps,mini_fw_pitch_direct_deg,mini_fw_throttle_direct,mini_attitude_sp_thrust_x,mini_terminal_straight_active,mini_terminal_sync_active,mini_terminal_sync_score,mini_terminal_sync_best_score,mini_terminal_sync_release_ready,mini_terminal_sync_good_count,mini_terminal_sync_plateau_count,mini_terminal_sync_cluster_code,mini_terminal_sync_distance_xy,mini_terminal_sync_line_progress,mini_terminal_sync_line_lateral_error,mini_terminal_sync_height_error,mini_terminal_sync_distance_score,mini_terminal_sync_progress_score,mini_terminal_sync_lateral_score,mini_terminal_sync_height_score,mini_handoff_tangent_active,mini_handoff_distance_xy,mini_handoff_line_progress,mini_handoff_line_lateral_error,mini_handoff_height_error,mini_handoff_geom_ready,mini_energy_guard_active,mini_energy_guard_bad_airspeed,mini_energy_guard_bad_underspeed,mini_energy_guard_true_airspeed_mps,mini_energy_guard_underspeed_ratio,mini_energy_guard_recover_time_remaining_sec,controller_phase_code,controller_tracking_horizontal_distance,controller_tracking_along_error,controller_tracking_lateral_error,controller_tracking_along_speed,controller_tracking_lateral_speed,controller_terminal_distance,controller_terminal_along_error,controller_terminal_lateral_error,controller_terminal_vertical_error,controller_target_along_speed,controller_target_lateral_speed,controller_relative_speed,controller_min_docking_distance,controller_rendezvous_corridor_active,controller_passive_target_mode,controller_corridor_release_score,controller_corridor_release_armed,controller_corridor_release_accept_counter,controller_completion_hold_counter,controller_tracking_rearm_guard_enabled,controller_tracking_rearm_guard_used,controller_tracking_rearm_last_trigger_code,controller_passive_docking_entry_count,controller_passive_docking_last_exit_trigger_code,controller_debug_25,controller_debug_26,controller_debug_27,controller_debug_28,controller_debug_29
0.042,FAILED,9.568488,7.143381,-6.351881,0.426227,-1.730199,10.202183,-0.446428,29.752615,-133.521570,34.395905,0.134707,0.276009,0.117007,1.291859,0.136050,-16.397645,36.867409,-139.708145,34.814258,-1.626774,10.482304,-0.352519,16.932724,-3.423725,98.003029,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.290074,-138.863961,32.589805,7.114793,-6.186575,0.418353,9.437638,-1.761482,10.206295,-0.469526,10.367822,nan,nan,523.051453,1,-33.621216,0.329431,489.430237,1,523.051453,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,520.885986,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.984450,0.000000,0.000000,6.000000,9.558990,-7.355148,-6.105415,10.346390,0.174156,9.561666,-7.355148,-6.105415,0.226227,10.606206,0.000000,10.357481,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,146.435439,5.443985,nan
0.101,FAILED,9.300958,6.961181,-6.162300,0.275370,-1.865138,10.387992,-0.308754,29.759818,-133.511453,34.399506,0.156770,0.308151,0.137265,0.871087,0.183574,-16.393839,36.784008,-139.204346,34.791675,-1.775955,10.468337,-0.421941,16.987273,-3.642126,98.733183,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.370178,-138.126928,32.507660,7.024191,-5.692892,0.392169,9.049976,-1.932725,10.160186,-0.559207,10.357486,10.823721,0.201128,523.021912,1,-33.591675,0.421941,489.430237,1,523.021912,0.000000,520.885986,521.362671,-2.000000,-0.935645,-0.354313,10.317423,10.812222,0.200000,0.491111,-5.288870,0.000000,0.000000,-9.523294,-4.197443,520.820068,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.823721,0.000000,0.000000,6.000000,9.296880,-7.226579,-5.848807,10.553361,0.125288,9.297186,-7.226579,-5.848807,0.075370,10.616490,0.000000,10.558620,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,210.077865,-2.934048,nan
0.141,FAILED,8.794667,6.960085,-5.363322,0.371722,-1.997761,10.151524,-0.645938,29.768576,-133.500501,34.405853,0.161479,0.309246,0.179144,0.652882,0.372126,-16.404979,36.694817,-138.700653,34.764758,-1.866074,10.454662,-0.493883,17.232964,-3.789801,99.475297,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.353330,-137.789155,32.425411,6.926241,-5.200152,0.358905,8.668518,-2.027554,10.145417,-0.673026,10.367903,10.823721,0.201128,522.999878,1,-33.569641,0.489091,489.430237,1,522.999878,0.000000,520.820068,521.250732,-2.000000,-0.952600,-0.444012,10.317465,10.818356,0.200000,0.491110,-5.337108,0.000000,0.000000,-9.686150,-4.323903,520.737915,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.823721,0.000000,0.000000,6.000000,8.786808,-6.491695,-5.921646,10.344250,0.202437,8.788486,-6.491695,-5.921646,0.171722,10.620117,0.000000,10.366375,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,147.124674,5.351940,nan
0.201,FAILED,8.463509,6.770851,-5.073371,0.217883,-1.843197,10.358429,-0.419932,29.829773,-133.123925,34.516846,-0.136848,0.082940,-0.096756,0.000000,0.000000,148.780957,36.584538,-138.113464,34.729785,-1.992447,10.441044,-0.519621,17.045783,-4.030031,100.357001,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.324726,-137.461059,32.346887,6.754764,-4.989539,0.212939,8.400457,-1.855599,10.358104,-0.422865,10.531495,10.860056,0.200940,522.960022,1,-33.529785,0.519621,489.430237,1,522.960022,0.000000,520.737915,521.170776,-2.000000,-0.963843,-0.504006,10.317465,10.815861,0.200000,0.491110,-5.383263,0.000000,0.000000,-9.774121,-4.467674,520.655640,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.860056,0.000000,0.000000,6.000000,8.460704,-6.246042,-5.707054,10.520469,-0.118998,8.460723,-6.246042,-5.707054,0.017883,10.627453,0.000000,10.529519,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,210.060234,-2.939477,nan
0.241,FAILED,8.053888,6.754999,-4.375662,0.297809,-2.172450,10.223858,-0.731060,29.782263,-133.484720,34.418610,0.132589,0.216378,0.179950,0.438415,0.516425,-16.379000,-48.392368,-60.761462,29.999466,6.818276,-7.315129,0.000445,0.000000,0.000000,-47.013373,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.232506,-136.964486,32.221735,-78.174631,72.723258,-4.419144,106.861939,6.685688,-7.531506,-0.179505,10.072449,10.860056,0.200940,522.933899,1,-33.503662,0.596229,489.430237,1,522.933899,0.000000,520.655640,521.058838,-2.000000,-0.979236,-0.545272,10.317435,10.813917,0.200000,0.491107,-5.464263,0.000000,0.000000,-9.936905,-4.686788,520.577148,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.860056,0.000000,0.000000,6.000000,8.048380,-5.590591,-5.789795,10.450734,0.170173,8.048975,-5.590591,-5.789795,0.097809,10.637186,0.000000,10.477655,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,210.054405,-2.962630,nan
0.301,FAILED,7.586027,6.611341,-3.711890,0.244647,-2.325688,10.201344,-0.783024,29.834838,-133.121881,34.513421,0.113152,0.082940,-0.096756,0.000000,0.000000,36.241149,-48.049177,-61.125082,29.999487,6.863819,-7.272413,0.000428,0.000000,0.000000,-46.655614,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.200086,-136.649228,32.145584,-77.884015,71.996799,-4.513934,106.159477,6.750667,-7.355353,0.097184,9.984095,10.601499,0.200783,522.893311,1,-33.463074,0.614331,489.430237,1,522.893311,0.000000,520.577148,520.962891,-2.000000,-0.991931,-0.588137,10.317435,10.814941,0.200000,0.491107,-5.519584,0.000000,0.000000,-10.075708,-4.907657,520.451965,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.601499,0.000000,0.000000,6.000000,7.582081,-4.995780,-5.703520,10.461685,0.171457,7.582213,-4.995780,-5.703520,0.044647,10.654853,0.000000,10.492348,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,211.342507,-3.125275,nan
0.341,FAILED,7.305764,6.515565,-3.298094,0.210162,-2.447433,10.228725,-0.786543,29.834246,-133.123984,34.514833,-0.011848,-0.042060,0.028244,0.000000,0.000000,-105.731507,-47.703722,-61.486553,29.999507,6.909095,-7.229413,0.000410,0.000000,0.000000,-46.297853,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.115005,-136.244928,32.043380,-77.537968,71.637432,-4.515325,105.661943,6.920943,-7.187352,-0.027833,9.977888,10.601499,0.200783,522.864380,1,-33.434143,0.618061,489.430237,1,522.864380,0.000000,520.375793,520.850952,-2.000000,-1.006140,-0.611822,10.317366,10.804467,0.200000,0.491106,-5.621288,0.000000,0.000000,-10.194527,-5.165235,520.375793,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.601499,0.000000,0.000000,6.000000,7.302741,-4.636191,-5.642318,10.516167,0.164251,7.302748,-4.636191,-5.642318,0.010162,10.676029,0.000000,10.546819,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,211.336337,-3.128008,nan
0.402,FAILED,6.993070,6.323769,-2.984365,0.080874,-2.363284,10.306847,-0.592095,29.827404,-133.119837,34.509995,-0.136848,0.082940,-0.096756,0.000000,0.000000,148.780957,-47.356017,-61.845859,29.999527,6.954102,-7.186130,0.000394,0.000000,0.000000,-45.940088,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,31.063789,-135.964355,31.975400,-77.183421,71.273978,-4.510468,105.155146,7.090949,-7.269070,0.097150,10.155313,10.839060,0.200653,522.834167,1,-33.403931,0.663321,489.430237,1,522.834167,0.000000,520.375793,520.755005,-2.000000,-1.018323,-0.650896,10.317366,10.783164,0.200000,0.491106,-5.727450,0.000000,0.000000,-10.270863,-5.398768,520.273621,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.601499,0.000000,0.000000,6.000000,6.992602,-4.381020,-5.450060,10.573707,-0.113645,6.993617,-4.381020,-5.450060,-0.119126,10.686362,0.000000,10.590882,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,211.329683,-3.143675,nan
0.442,FAILED,6.726512,6.287016,-2.388293,0.124347,-2.687065,10.238893,-0.907222,29.803030,-133.465013,34.448212,0.109813,0.141651,0.200189,1.168805,0.738939,-16.448710,-47.006075,-62.202988,29.999546,6.998838,-7.142567,0.000378,0.000000,0.000000,-45.582320,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,30.889756,-135.804979,31.845001,-76.809106,71.262025,-4.448666,104.869946,6.889024,-7.284218,-0.199811,10.027882,10.839060,0.200653,522.781738,1,-33.351501,0.695513,489.430237,1,522.781738,0.000000,520.205627,520.659058,-2.000000,-1.029785,-0.693152,10.317355,10.770488,0.200000,0.491101,-5.806652,0.000000,0.000000,-10.346490,-5.675328,520.205627,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.839060,0.000000,0.000000,6.000000,6.725363,-3.835955,-5.524125,10.584757,0.134761,6.725788,-3.835955,-5.524125,-0.075653,10.692962,0.000000,10.624420,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,211.324809,-3.146863,nan
0.501,FAILED,104.150192,-76.473879,70.559869,-4.507005,7.180149,-7.181666,0.097119,29.807318,-133.461553,34.456024,0.108808,0.127346,0.187410,1.304660,0.846985,-16.450880,35.893333,-135.105545,34.511646,-2.796166,10.328207,-0.753931,17.286992,-4.966423,104.783701,29.824639,-133.183503,34.562218,0.000000,0.000000,0.000000,30.849569,-135.565491,31.786986,6.086015,-1.643992,0.055621,6.304394,-2.904975,10.200861,-0.941341,10.648125,10.863119,0.200544,522.748718,1,-33.318481,0.748173,489.430237,1,522.748718,0.000000,520.205627,520.563110,-2.000000,-1.041126,-0.710968,10.317355,10.772905,0.200000,0.491101,-5.862479,0.000000,0.000000,-10.454964,-5.936983,520.075256,nan,10.000000,nan,nan,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,0.000000,nan,nan,nan,nan,0.000000,0.000000,0.000000,0.000000,10.839060,0.000000,0.000000,6.000000,104.052628,-103.951373,-4.589268,10.155263,0.038727,104.159038,-103.951373,-4.589268,-4.707005,10.000000,0.000000,10.155801,0.894051,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.000000,4.000000,0.000000,25.000000,211.317577,-3.162085,nan
