run_id,final_pass,first_non_idle_t_sec,tangent_start_t_sec,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,approach_sec,tracking_sec,docking_sec,ahead_ratio_positive_pre_completed,ahead_min_m,approach_carrier_orbit_gap_mean_m,docking_lateral_sign_flip_count,docking_lateral_abs_max_m
20260412_205513_px4_sih,1,78.88,90.98,86.14,94.94,99.64,7.260000000000005,8.799999999999997,4.640000000000001,0.8867469879518072,-1.5365732879513554,6.69560065529231,2,1.106205
20260412_205753_px4_sih,1,76.14,86.98,83.58,91.68,97.34,7.439999999999998,8.100000000000009,5.599999999999994,0.9433962264150944,-0.6614113189698938,6.322448716531504,2,0.91789
20260412_210030_px4_sih,1,79.58,91.48,87.28,95.94,99.84,7.700000000000003,8.659999999999997,3.8400000000000034,0.9160493827160494,-0.9614143201652501,6.816838654770431,2,0.487503
20260412_210310_px4_sih,1,77.54,90.64,85.04,94.24,98.64,7.5,9.199999999999989,4.340000000000003,0.8767772511848341,-1.4028322110219118,6.917847670035258,2,1.527025
20260412_210551_px4_sih,1,79.08,91.98,86.68,95.78,101.94,7.6000000000000085,9.099999999999994,6.099999999999994,0.8949671772428884,-1.5785694972045015,7.132410976874275,3,0.56187
