run_id,final_pass,first_non_idle_t_sec,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,approach_sec,tracking_sec,docking_sec,ahead_ratio_positive_pre_completed,ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,opp_ratio_6s_speedg1,docking_lateral_abs_max_m,docking_lateral_sign_flip_count,approach_carrier_orbit_gap_mean_m,carrier_path_until_completed_m
20260412_232808_px4_sih,1,75.08,82.64,91.34,95.64,7.560000000000002,8.700000000000003,4.299999999999997,0.912621359223301,-1.4873293511671997,0.5813953488372093,-1.4873293511671997,0.0,0.270401,1,6.62721655088578,113.10915481050974
20260412_233042_px4_sih,1,75.9,83.5,92.94,104.4,7.599999999999994,9.439999999999998,11.460000000000008,0.7197898423817863,-1.9910803533470163,0.30131004366812225,-1.9910803533470163,0.0,0.976522,1,6.638852833522371,177.5141795228037
20260412_233325_px4_sih,1,74.1,81.9,89.84,96.0,7.800000000000011,7.939999999999998,6.159999999999997,0.8815489749430524,-1.8423419725044528,0.5772357723577236,-1.8423419725044528,0.0,0.793974,3,6.589413078604827,119.45203089977753
20260412_233602_px4_sih,0,74.7,82.3,91.14,nan,7.599999999999994,53.05999999999999,43.24000000000001,0.8595478595478595,-1.109811656936209,0.9098265895953758,-0.8124713386116007,0.0,3.788639,0,6.382303139582116,991.020294903705
20260412_233958_px4_sih,1,77.84,85.6,94.1,100.14,7.759999999999991,8.5,6.040000000000006,0.8747203579418344,-1.700068585257436,0.5454545454545454,-1.700068585257436,0.0,0.869245,0,6.883538005430686,128.01908488934774
