run_id,error,final_pass,final_phase,tracking_rows,core_rows,entry_like_rows,first_tracking_t_sec,first_core_t_sec,first_entry_like_t_sec,best_track_term_dist_m,best_core_term_dist_m,max_along_core_m,max_along_entry_like_m,ahead_upper_gap_m
20260415_191105_px4_sih,0.000000,0.000000,TRACKING,2140.000000,904.000000,11.000000,73.040000,81.240000,81.340000,4.620634,5.112411,-5.109127,-5.109127,0.000000
20260415_191453_px4_sih,0.000000,0.000000,TRACKING,1934.000000,691.000000,0.000000,81.520000,89.720000,,6.885046,6.885046,-6.864151,,0.864151
