run_id,phase_end,final_pass,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,track_ahead_ratio_positive,track_ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,docking_negative_duration_sec,opp_ratio_6s_speedg1,carrier_cmd_speed_p95_mps,carrier_cmd_speed_max_mps,carrier_cmd_acc_p95_mps2,carrier_cmd_acc_max_mps2,carrier_act_speed_p95_mps,carrier_act_speed_max_mps,carrier_act_acc_p95_mps2,carrier_act_acc_max_mps2,mini_tas_p95_mps,mini_tas_max_mps,mini_tas_sp_p95_mps,mini_tas_sp_max_mps
20260415_002326_px4_sih,DOCKING,0,83.46,91.50,,0.999,-0.016,1.000,1.742,0.000,0.033,13.550,14.497,3.327,3.536,8.934,13.208,3.615,14.124,11.430,12.324,10.831,10.831
20260415_002732_px4_sih,COMPLETED,1,83.30,92.04,96.20,0.934,-1.037,0.795,-1.037,0.800,0.000,14.491,14.618,3.536,186.500,12.280,12.739,8.661,11.678,11.968,12.217,10.832,10.832
20260415_003018_px4_sih,DOCKING,0,85.70,95.10,,1.000,0.226,1.000,1.812,0.000,0.058,14.374,14.483,3.063,3.536,9.108,12.963,3.938,12.417,11.309,12.090,10.831,10.831
20260415_003415_px4_sih,COMPLETED,1,83.64,93.74,97.70,0.943,-0.544,0.797,-0.544,0.740,0.000,14.484,14.578,3.536,177.269,11.326,11.671,7.571,14.936,11.919,12.178,10.831,10.831
20260415_003652_px4_sih,TRACKING,0,83.14,,,1.000,1.742,nan,nan,0.000,0.000,13.298,14.511,3.536,3.536,9.910,12.031,4.192,12.816,11.126,12.509,9.461,10.831
