run,phase_end,start_reason,final_pass,first_dock_t_sec,first_completed_t_sec,dock_to_completed_sec,first_dock_to_completed_path_m,docking_segment_count,max_docking_segment_path_m,last_docking_segment_path_m
20260420_185000_px4_sih,COMPLETED,window,1,90.94,94.84,3.9000000000000057,25.53623469177305,1,25.080435319921794,25.080435319921794
20260420_185240_px4_sih,COMPLETED,window,1,83.6,88.94,5.340000000000003,39.39671470047804,1,38.972357889498184,38.972357889498184
20260420_185510_px4_sih,COMPLETED,window,1,77.34,92.6,15.259999999999991,120.81863233199239,2,67.14186799926958,43.58067666757157
20260420_185744_px4_sih,COMPLETED,window,1,83.74,90.94,7.200000000000003,53.06171898236028,1,52.659119256595346,52.659119256595346
20260420_190018_px4_sih,COMPLETED,window,1,91.1,95.56,4.460000000000008,32.68554659659803,1,32.303327550158684,32.303327550158684
