run_id,phase_end,final_pass,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,track_ahead_ratio_positive,track_ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,docking_negative_duration_sec,opp_ratio_6s_speedg1,straight_sec,dock_to_completed_sec,m1_same_direction_ok,m2_front_ok,m3_short_endgame_ok,m4_final_pass_ok,all_m1_m4_ok
20260415_234355_px4_sih,DOCKING,0.0,73.1,81.3,,0.9738195418419823,-0.857506,0.9716455696202532,-0.857506,3.3599999999993315,0.0,118.43999999997644,,True,False,False,False,False
20260415_234745_px4_sih,COMPLETED,1.0,82.18,107.48,113.54,0.9633173843700159,-0.253754,0.8099173553719008,-0.253754,0.9200000000001438,0.0,5.880000000000919,6.060000000000002,True,False,True,True,False
20260415_235031_px4_sih,COMPLETED,1.0,87.04,96.74,101.64,0.8732876712328768,-0.721609,0.826530612244898,-0.283897,0.8499999999999517,0.04132231404958678,6.14999999999965,4.900000000000006,False,False,True,True,False
20260415_235311_px4_sih,DOCKING,0.0,82.7,93.1,,0.9943502824858758,-0.244593,1.0,1.761197,0.0,0.0743801652892562,102.60099999999873,,False,True,False,False,False
20260415_235703_px4_sih,COMPLETED,1.0,82.24,91.74,98.48,0.8861538461538462,-1.142053,0.725925925925926,-1.142053,1.8500000000000263,0.0,7.950000000000113,6.740000000000009,True,False,True,True,False
