run_id,final_pass,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,ahead_ratio_positive_pre_completed,ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,opp_ratio_6s_speedg1,docking_lateral_abs_max_m,carrier_path_until_completed_m
20260414_115408_px4_sih,1,71.94,80.54,91.14,0.8507462686567164,-1.7025051677043828,0.6273584905660378,-1.7025051677043828,0.0,1.487293,173.6863356990935
20260414_115638_px4_sih,1,84.18,92.78,99.98,0.8458244111349036,-1.8561742613959855,0.5,-1.8561742613959855,0.0,1.090283,135.55549459116136
20260414_115921_px4_sih,0,81.84,90.44,nan,0.7550274223034735,-1.5999655411129572,0.40969162995594716,-1.5999655411129572,0.0,1.092431,164.38310128893792
20260414_120207_px4_sih,1,81.36,89.46,95.3,0.8691588785046729,-1.5065024902877808,0.5213675213675214,-1.5065024902877808,0.0,0.682163,117.01678791506586
20260414_120443_px4_sih,1,82.64,90.74,105.64,0.9401294498381877,-1.2395590211050702,0.8758389261744967,-1.2395590211050702,0.0,1.239701,196.38411977498217
