run_id,final_pass,first_non_idle_t_sec,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,approach_sec,tracking_sec,docking_sec,ahead_ratio_positive_pre_completed,ahead_min_m,opp_ratio_6s_speedg1,opp_ratio_all_speedg1,docking_lateral_abs_max_m,docking_lateral_sign_flip_count,approach_carrier_orbit_gap_mean_m,carrier_path_until_completed_m
20260412_222045_px4_sih,1,74.62,81.88,92.02,98.18,7.259999999999991,10.14,6.160000000000011,0.8877118644067796,-1.4478662437434082,0.0,0.0,0.606588,3,6.405105413844635,134.45041502823491
20260412_222323_px4_sih,1,79.4,87.1,95.4,102.7,7.699999999999989,8.300000000000011,7.299999999999997,0.828693790149893,-1.5959500502825206,0.0,0.0,1.165554,3,6.664829102250047,136.32802041359878
20260412_222607_px4_sih,1,75.88,83.44,91.64,94.34,7.560000000000002,8.200000000000003,2.700000000000003,0.9648648648648649,-1.2284094078513177,0.0,0.0,0.62683,1,6.537130923007564,91.8604939951931
20260412_222839_px4_sih,1,79.1,86.88,95.24,99.6,7.780000000000001,8.36,4.359999999999999,0.9075425790754258,-1.9568757018498784,0.0,0.0,0.909376,0,6.6011626466638225,111.80300229946812
20260412_223118_px4_sih,1,62.56,70.16,78.76,84.9,7.599999999999994,8.600000000000009,6.140000000000001,0.8660714285714286,-1.6419127065637455,0.0,0.0,0.945978,2,6.815138155576768,135.55114190507433
