run_id,final_pass,first_non_idle_t_sec,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,approach_sec,tracking_sec,docking_sec,ahead_ratio_positive_pre_completed,ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,opp_ratio_6s_speedg1,docking_lateral_abs_max_m,docking_lateral_sign_flip_count,approach_carrier_orbit_gap_mean_m,carrier_path_until_completed_m
20260412_225119_px4_sih,1,75.5,83.1,91.34,95.8,7.599999999999994,8.240000000000009,4.459999999999994,0.9115479115479116,-1.4943054587851026,0.5955056179775281,-1.4943054587851026,0.0,0.501481,3,6.661416045479486,110.29441854732313
20260412_225353_px4_sih,1,79.08,86.74,95.08,102.14,7.659999999999997,8.340000000000003,7.060000000000002,0.9004329004329005,-1.293285512097742,0.6808510638297872,-1.293285512097742,0.0,0.450275,4,6.856494378004037,133.02447792454655
20260412_225636_px4_sih,1,74.5,82.0,90.2,96.1,7.5,8.200000000000003,5.8999999999999915,0.8799076212471132,-1.5245140226849867,0.559322033898305,-1.5245140226849867,0.0,0.420498,3,6.569999086462741,118.07161010144547
20260412_225912_px4_sih,0,74.3,81.56,89.96,nan,7.260000000000005,8.399999999999991,7.200000000000003,0.7729257641921398,-1.8247222292692487,0.2827586206896552,-1.8247222292692487,0.0,0.7823,0,6.4623310632493105,130.50888563310141
20260412_230148_px4_sih,1,64.3,72.0,80.64,86.8,7.700000000000003,8.64,6.159999999999997,0.8780487804878049,-1.78400918773879,0.5609756097560976,-1.78400918773879,0.0,0.580851,3,6.1963332313805015,136.95101809905174
