run_id,final_pass,first_tracking_t_sec,first_docking_t_sec,first_completed_t_sec,ahead_ratio_positive_pre_completed,ahead_min_m,docking_ahead_ratio_positive,docking_ahead_min_m,opp_ratio_6s_speedg1,docking_lateral_abs_max_m,carrier_path_until_completed_m
20260413_114715_px4_sih,1,83.66,93.8,100.36,0.9691991786447639,-0.512356,0.8863636363636364,-0.512356,0.0,1.370435,142.02347459779824
20260413_114956_px4_sih,1,83.34,91.34,94.3,0.9626666666666667,-1.187388,0.7666666666666667,-1.187388,0.0,0.715948,92.03916125657419
20260413_115230_px4_sih,1,73.2,83.5,94.7,0.8954468802698144,-0.921421,0.7244444444444444,-0.921421,0.0,1.665211,204.41591249411013
20260413_115502_px4_sih,1,87.44,97.44,104.54,0.8724696356275303,-1.59307,0.5594405594405595,-1.59307,0.0,0.925938,145.43645187756357
20260413_115751_px4_sih,1,72.06,81.0,88.66,0.7971311475409836,-1.592439,0.35714285714285715,-1.592439,0.0,1.221082,152.99674074266412
