run_id,final_pass,first_non_idle_t_sec,approach_sec,tracking_sec,docking_sec,ahead_ratio_positive_pre_completed,ahead_min_m,approach_carrier_orbit_gap_mean_m,approach_carrier_orbit_gap_min_m,docking_lateral_sign_flip_count,docking_lateral_abs_max_m
20260412_184446_px4_sih,1,75.5,17.799999999999997,3.0,10.200000000000003,0.8760064412238325,-0.7543276292020101,5.232360353083423,3.0087044802261147,3,1.639508
20260412_184739_px4_sih,1,75.2,18.64,2.8999999999999915,4.0,0.970703125,-0.9322800297454804,5.566469935696175,3.755237438312747,1,1.490675
20260412_185025_px4_sih,1,75.46,17.900000000000006,1.5600000000000023,4.840000000000003,0.8726899383983573,-1.1714258030336966,4.312412271874881,2.109465704462025,0,1.484385
20260412_185310_px4_sih,1,74.2,18.14,3.8999999999999915,6.800000000000011,0.9394463667820069,-0.4008583096297521,5.2629143674301675,3.117217378768956,2,2.307141
20260412_185559_px4_sih,1,74.5,18.36,3.8400000000000034,5.599999999999994,0.9299820466786356,-0.6696846388522297,4.6733650647816525,2.3587071835090967,2,2.323431
