t,phase,relative_distance,rel_x,rel_y,rel_z,rel_vx,rel_vy,rel_vz,carrier_x,carrier_y,carrier_z,mini_x,mini_y,mini_z,carrier_sp_x,carrier_sp_y,carrier_sp_z,mini_target_x,mini_target_y,mini_target_z,measured_rel_x,measured_rel_y,measured_rel_z,measured_rel_distance,measured_rel_vx,measured_rel_vy,measured_rel_vz,measured_rel_speed
0.920,IDLE,47.358731,5.432443,46.782871,4.970000,-3.776972,9.259292,1.200000,54.000000,-30.000000,0.400000,59.432443,16.782871,5.370000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,5.432443,46.782871,4.970000,47.358731,-3.776972,9.259292,1.200000,10.071743
0.981,IDLE,47.798822,5.238800,47.243851,5.030000,-3.872860,9.219596,1.200000,54.000000,-30.000000,0.400000,59.040401,17.702804,5.490000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,5.040401,47.702804,5.090000,48.237654,-3.967975,9.179062,1.200000,10.071743
1.020,IDLE,48.237654,5.040401,47.702804,5.090000,-3.967975,9.179062,1.200000,54.000000,-30.000000,0.400000,58.837285,18.159689,5.550000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,4.837285,48.159689,5.150000,48.675225,-4.062323,9.137699,1.200000,10.071743
1.080,IDLE,48.675225,4.837285,48.159689,5.150000,-4.062323,9.137699,1.200000,54.000000,-30.000000,0.400000,58.629490,18.614465,5.610000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,4.629490,48.614465,5.210000,49.111531,-4.155908,9.095517,1.200000,10.071743
1.120,IDLE,49.111531,4.629490,48.614465,5.210000,-4.155908,9.095517,1.200000,54.000000,-30.000000,0.400000,58.417053,19.067091,5.670000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,4.417053,49.067091,5.270000,49.546571,-4.248735,9.052527,1.200000,10.071743
1.180,IDLE,49.546571,4.417053,49.067091,5.270000,-4.248735,9.052527,1.200000,54.000000,-30.000000,0.400000,58.200013,19.517528,5.730000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,4.200013,49.517528,5.330000,49.980342,-4.340808,9.008739,1.200000,10.071743
1.240,IDLE,50.412842,3.978406,49.965737,5.390000,-4.432131,8.964163,1.200000,54.000000,-30.000000,0.400000,57.978406,19.965737,5.790000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,3.978406,49.965737,5.390000,50.412842,-4.432131,8.964163,1.200000,10.071743
1.280,IDLE,50.412842,3.978406,49.965737,5.390000,-4.432131,8.964163,1.200000,54.000000,-30.000000,0.400000,57.752271,20.411677,5.850000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,3.752271,50.411677,5.450000,50.844068,-4.522708,8.918807,1.200000,10.071743
1.321,IDLE,50.844068,3.752271,50.411677,5.450000,-4.522708,8.918807,1.200000,54.000000,-30.000000,0.400000,57.752271,20.411677,5.850000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,3.752271,50.411677,5.450000,50.844068,-4.522708,8.918807,1.200000,10.071743
1.381,IDLE,51.274016,3.521643,50.855311,5.510000,-4.612543,8.872680,1.200000,54.000000,-30.000000,0.400000,57.286562,21.296600,5.970000,54.000000,-30.000000,0.400000,0.000000,0.000000,0.000000,3.286562,51.296600,5.570000,51.702685,-4.701638,8.825792,1.200000,10.071743
